DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Nordjylland,2024,6.9,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Euro area – 21 countries (from 2026),2024,9.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Estonia,2024,10.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Eesti,2024,10.2,,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Greece,2024,9.6,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Attiki,2024,7.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,"Nisia Aigaiou, Kriti",2024,11.6,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Voreio Aigaio,2024,17.6,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Notio Aigaio,2024,13.7,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Kriti,2024,8.9,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Voreia Elláda,2024,12.1,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,"Anatoliki Makedonia, Thraki",2024,11.4,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Kentriki Makedonia,2024,12.1,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Dytiki Makedonia,2024,11.8,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Ipeiros,2024,13.7,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Kentriki Elláda,2024,8.7,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Thessalia,2024,6.6,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Ionia Nisia,2024,12.8,bu,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Dytiki Elláda,2024,6.5,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Sterea Elláda,2024,12.3,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Peloponnisos,2024,10.5,b,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Spain,2024,10.1,d,
ESTAT:EDAT_LFSE_22(1.0),16/04/26 23:00:00,Annual,Total,From 15 to 24 years,Neither formal nor non-formal education or training,Not employed persons,Percentage,Noroeste,2024,8.6,d,
